wage;kids5;kids618;age;educ;exper;motheduc;fatheduc
0.1282;1;2;36;10;1;10;7
0.1616;0;2;35;12;17;10;10
0.1709;0;2;44;14;10;16;12
0.2137;1;2;39;13;1;12;16
0.3571;0;2;32;12;2;7;7
0.3826;0;3;45;16;4;7;7
0.4762;0;1;32;12;2;12;12
0.5000;0;2;48;12;6;12;7
0.5000;0;0;49;11;20;7;7
0.5426;0;0;32;14;11;12;12
0.6482;0;0;50;17;6;14;16
0.6564;0;1;49;8;2;7;7
0.6642;0;3;33;12;7;12;7
0.7143;0;4;31;12;13;7;7
0.8190;0;3;41;12;9;12;7
0.8602;0;0;50;6;22;12;7
0.9615;0;2;38;12;6;7;7
1.0000;2;2;32;15;9;10;12
1.0000;0;0;60;14;30;12;17
1.0000;0;0;51;14;0;12;12
1.0000;0;3;32;12;1;12;7
1.0938;0;0;50;11;11;3;12
1.0965;0;3;34;12;6;7;7
1.0989;0;0;58;12;32;7;3
1.1111;0;0;54;12;14;7;7
1.1217;1;2;33;12;15;10;10
1.1293;0;1;53;14;17;12;12
1.1594;0;1;34;12;16;10;7
1.1765;0;8;37;12;15;12;7
1.1987;0;3;48;7;13;3;7
1.2019;0;0;50;12;11;7;7
1.2227;0;0;34;10;4;0;10
1.2245;0;0;53;9;11;3;7
1.2500;0;0;30;12;9;12;12
1.2500;0;3;34;14;19;17;12
1.2500;0;0;59;10;19;7;7
1.2564;0;3;45;8;3;7;7
1.3333;0;4;36;12;3;7;7
1.3472;0;3;35;11;9;16;10
1.3889;0;2;30;12;5;7;7
1.3889;0;3;33;13;6;10;12
1.4154;1;3;39;12;13;10;10
1.4815;1;3;35;13;6;7;16
1.5345;0;1;37;12;2;12;7
1.5385;0;0;50;11;32;7;7
1.5845;0;0;37;11;18;10;10
1.5990;0;0;45;12;6;7;7
1.6000;0;0;52;8;17;7;7
1.6000;0;0;46;12;3;3;7
1.6000;0;4;34;12;9;12;16
1.6070;0;0;44;10;14;10;10
1.6250;1;2;36;12;6;12;7
1.6264;0;0;51;9;29;7;7
1.6410;1;2;36;12;1;7;7
1.6667;2;0;33;12;11;12;12
1.6667;0;1;47;16;8;14;14
1.6667;0;1;32;11;4;10;9
1.6667;1;3;33;12;4;7;3
1.6760;0;1;44;13;4;10;10
1.6927;0;3;36;14;1;10;10
1.7108;0;0;52;12;26;10;7
1.7163;0;1;43;12;21;12;10
1.7407;0;4;37;8;4;7;7
1.7435;0;2;32;13;2;14;12
1.7442;0;1;49;14;14;16;16
1.7490;0;3;42;12;8;7;3
1.7500;0;0;54;12;3;7;12
1.7500;0;3;33;13;4;12;7
1.7778;1;2;40;17;8;16;17
1.7778;0;3;35;9;6;3;7
1.7821;0;0;41;12;7;7;3
1.8519;1;2;31;12;0;7;7
1.8578;0;3;38;12;14;7;7
1.8605;0;3;37;12;2;10;7
1.8605;0;0;45;12;23;12;12
1.8762;0;0;52;10;34;7;3
